x-axis,1,2
second,Volt,Volt
-165.1000E-06,+1.1856570261E+00,+1.1116373720E+00
-164.7500E-06,+717.0379099E-03,+658.9245094E-03
-164.4000E-06,+185.1264953E-03,+145.7654022E-03
-164.0500E-06,-359.2251193E-03,-375.2246915E-03
-163.7000E-06,-883.4085846E-03,-871.1401672E-03
-163.3500E-06,-1.3278371929E+00,-1.2951523130E+00
-163.0000E-06,-1.6658304228E+00,-1.6129760422E+00
-162.6500E-06,-1.8701862833E+00,-1.8024396906E+00
-162.3000E-06,-1.9251716332E+00,-1.8424288436E+00
-161.9500E-06,-1.8221442506E+00,-1.7335071071E+00
-161.6000E-06,-1.5723303739E+00,-1.4847266657E+00
-161.2500E-06,-1.1912889333E+00,-1.1143438139E+00
-160.9000E-06,-713.7077746E-03,-653.0108477E-03
-160.5500E-06,-178.0357051E-03,-136.9808601E-03
-160.2000E-06,+365.1493232E-03,+384.2546609E-03
-159.8500E-06,+880.2381335E-03,+875.5053800E-03
-159.5000E-06,+1.3211520635E+00,+1.2895155332E+00
-159.1500E-06,+1.6491283703E+00,+1.5964259262E+00
-158.8000E-06,+1.8364346346E+00,+1.7684076712E+00
-158.4500E-06,+1.8748582654E+00,+1.7948940875E+00
-158.1000E-06,+1.7578395959E+00,+1.6726325882E+00
-157.7500E-06,+1.4933601544E+00,+1.4121447454E+00
-157.4000E-06,+1.1041637285E+00,+1.0305113244E+00
-157.0500E-06,+618.8801362E-03,+564.6113245E-03
-156.7000E-06,+80.1295774E-03,+48.2380897E-03
-156.3500E-06,-462.5860252E-03,-471.1474627E-03
-156.0000E-06,-973.4178233E-03,-958.9660753E-03
-155.6500E-06,-1.4026384424E+00,-1.3647167415E+00
-155.3000E-06,-1.7210279850E+00,-1.6603992111E+00
-154.9500E-06,-1.8906569053E+00,-1.8214068379E+00
-154.6000E-06,-1.9157605657E+00,-1.8325026226E+00
-154.2500E-06,-1.7866647466E+00,-1.6966702336E+00
-153.9000E-06,-1.5083656498E+00,-1.4223107512E+00
-153.5500E-06,-1.1078711176E+00,-1.0326819267E+00
-153.2000E-06,-615.4239732E-03,-557.3863766E-03
-152.8500E-06,-75.2887849E-03,-39.0822219E-03
-152.5000E-06,+468.1577910E-03,+480.3070779E-03
-152.1500E-06,+971.7404339E-03,+958.9353155E-03
-151.8000E-06,+1.3910346867E+00,+1.3579338461E+00
-151.4500E-06,+1.6962730960E+00,+1.6407958200E+00
-151.1000E-06,+1.8592453154E+00,+1.7851605234E+00
-150.7500E-06,+1.8669234072E+00,+1.7843229056E+00
