Diodo 1,,
fondo scala ice mA,mA ICE,mV DMM
5,0.4,560.3
5,0.95,593.5
5,4,650.8
50,7.5,678
50,10,691
50,13,703
50,18,717
50,24,730
50,31,740
50,39,750
50,48,759
500,60,770
500,70,777
500,80,781
500,100,790
500,110,793
500,120,796
500,140,802
500,170,809
500,210,815
500,260,822
500,300,825
