0.04,0.01
0.08,0.02
0.16,0.05
0.24,0.07
0.4,0.11
0.48,0.13
0.68,0.19
0.76,0.21
0.84,0.23
0.92,0.26
0.96,0.27
1.12,0.32
1.36,0.38
1.48,0.42
1.68,0.47
